standardized_variable,full_question,notes
late_pregnancy_mother_other_condition,During the last 3 months of pregnancy did the mother suffer from other conditions?,NA
late_pregnancy_mother_other_condition_specific,During the last 3 months of pregnancy did the mother suffer from other conditions? Specific,NA
late_pregnancy_mother_pallor,During the last 3 months of pregnancy did the mother suffer from pallor?,NA
late_pregnancy_mother_puffy_face,During the last 3 months of pregnancy did the mother suffer from puffy face?,NA
late_pregnancy_mother_smelly_discharge,During the last 3 months of pregnancy did the mother suffer from smelly vaginal discharge?,NA
late_pregnancy_mother_vaginal_bleeding,During the last 3 months of pregnancy did the mother suffer from vaginal bleeding?,NA
leprosy,Did the child suffer from leprosy?,NA
lethargic,During the illness that led to death did the child become lethargic after a period of normal activity?,NA
liquid_colour,What was the colour of the liquid when the water broke?,NA
liquid_smell,Was the liquid foul smelling?,NA
listen_fetal_heart,Did a birth attendant listen for fetal heart sound?,NA
literate,Was the child able to read and write?,NA
live_with_deceased,Did the respondent live with the deceased in the period leading to her/his death?,NA
liver_disease,Was there any diagnosis by a health professional of liver disease?,NA
location_id,Location ID,NA
long_labour,Was the mother in labour for unusually long (more than 24 hours)? / Was it a prolonged labour?,NA
lumps,Did the child have any lumps?,NA
lumps_armpit,Did the child have any lumps on the armpit?,NA
lumps_groin,Did the child have any lumps on the groin?,NA
lumps_mouth,Did the child have any lumps in the mouth?,NA
lumps_neck,Did the child have any lumps on the neck?,NA
lumps_other,Did the child have any lumps? Other,NA
lumps_specific,Did the child have any lumps? Specify,NA
macerated,"If the child was born dead, did the child show signs of maceration (decay)?",NA
machinery,Was the child injured by machinery?,NA
main_economic_activity,What was her/his main economic activity in the year prior to death?,NA
main_economic_activity_specific,What was her/his main economic activity in the year prior to death? Specific,NA
malaria_negative,Did the child have a recent negative test for Malaria?,NA
malaria_positive,Did the child have a recent positive test for Malaria?,NA
malaria_tested,Did the child have a recent test for malaria?,NA
malformation,Did the baby have any noticeable malformation?,NA
malformation_other,Did the baby have any noticeable malformation? Other,NA
malformation_specific,Did the baby have any noticeable malformation? Specific,NA
malformation_type,What kind of malformation did the baby have?,NA
malformation_type_specific,"What kind of malformation did the baby have, specific",NA
malnutrition,Did the child suffer from malnutrition?,NA
marital_status,Marital status of deceased,NA
mch_anc_card_info,MCH / ANC card information,NA
mch_card_available,Is MCH / ANC card available?,NA
measles,Was the child diagnosed with measles?,NA
measles_1,Note vaccines the child has received: Measles 1,"Gambia, WHO2016"
measles_2,Note vaccines the child has received: Measles 2,"Gambia, WHO2016"
measles_rash,Did the child have measles rash?,NA
medication_received,Did the child receive any of the following medications during the illness preceding his/her death?,NA
medication_specific,Did the child receive any of the following medications during the illness preceding his/her death? Specific,NA
medication_test_problems,"Were there any problems getting medications, or diagnostic tests in the hospital or health facility?",NA
mental_confusion,Did the child have mental confusion?,NA
mental_confusion_duration,For how long did the child have mental confusion?,NA
mental_confusion_unknown,For how long did the child have mental confusion? Don't know,NA
minutes_baby_cry,How many minutes after birth did the baby first cry?,NA
minutes_chest_pain,Minutes the child had chest pain,NA
minutes_convulsions,For how many minutes did the convulsions last?,NA
miserable_month_prior_to_death,"Was the child miserable in the month prior to the death? E.g. reduced activity, reduced appetite",NA
months_abdomen_mass,Months the child had a mass in the abdomen,NA
months_abdomen_pain,Months the child had abdominal pain,NA
months_abdomen_problem,Months the child had an abdomen problem,NA
months_bloody_vomit,Months the child had bloody vomit,NA
months_breathlessness,Months the child had breathlessness,NA
months_chest_infections,Months the child had a chest infection,NA
months_chest_pull_in,Months the child had his/her chest pull in,NA
months_convulsions,Months the child had convulsions,NA
months_cough,Months the child had a cough,NA
months_diarrhea,Months the child had diarrhea,NA
months_diarrhea_start,How long before death the frequent loose or liquid stools started (in months),NA
months_difficulty_breathing,Months the child had difficulty breathing,NA
months_difficulty_swallowing,Months the child had difficulty swallowing,NA
months_fast_breathing,Months the child had fast breathing,NA
months_fever,Months the child had a fever,NA
months_fits,Months the child had fits,NA
months_hair_red_yellow,Months the child's hair changed to a reddish or yellowish color,NA
months_headache,Months the child had headaches,NA
months_ill_before_death,Number of months the child was ill before his/her death,NA
months_illness_start,How old was the child when the fatal illness started (in months)?,NA
months_lumps,Months the child had lumps,NA
months_measles,Months the child had measles,NA
months_mental_confusion,Months the child had mental confusion,NA
months_mother_die,How many months after the delivery did the mother die?,NA
months_night_sweats,Months child had night sweats,NA
months_operation_before_death,How long before death did the child have an operation? Months,NA
months_painful_neck,Months the child had a painful neck,NA
months_pale,Months the child was pale,NA
months_paralysis_lower_limb,Months the child had paralysis in his/her lower limbs,NA
months_paralyzed,Months the child was paralyzed,NA
months_pregnancy,How many months long was the pregnancy before the child was born?,NA
months_premature,How many months premature was the baby born?,NA
months_protruding_abdomen,For how many months did (s)he have a more than usually protruding abdomen?,NA
months_puffiness_of_face,Months the child had puffiness of the face,NA
months_rash,Months the child had a rash,NA
months_rash_mouth,Months the child had a rash in the mouth,NA
months_stiff,Months the child was stiff,NA
months_stiff_neck,Months the child had a stiff neck,NA
months_stop_suckle,How long after birth the baby stopped suckling (in months),NA
months_sunken_eye,Months the child had sunken eyes,NA
months_swell,Months the child had swelling,NA
months_swell_body,Months the child had swelling of the body,NA
months_swell_face,Months the child had swelling of the face,NA
months_swell_joints,Months the child had swelling of the joints,NA
months_swell_leg,Months the child had swelling in the legs,NA
months_ulcer_foot_pus,Months the ulcer on the foot oozed pus,NA
months_unconscious,Months the child was unconscious,NA
months_unusually_sleepy,Months child was unusually sleepy,NA
months_urine_blood,Months the child had bloody urine,NA
months_urine_change,Months the child's urine changed,NA
months_urine_problems,Months the child had urine problems,NA
months_vomit,Months the child vomited,NA
months_weight_loss,Months the child experienced weight loss,NA
months_yellow_eyes,Months the child had yellow eyes,NA
mother_abdomen_pain,"During the last 3 months of pregnancy, did the mother suffer from any of the follow illnesses? Abdominal pain that was not labour pain",NA
mother_age_baby_die,What was the age of the mother at the time the baby died?,NA
mother_age_years,Mother's age in years,NA
mother_alive,Is the mother still alive?,NA
mother_amemia,Did the baby's mother have severe anaemia?,NA
mother_antenatal_care,Did the mother have any antenatal care during her pregnancy?,NA
mother_arv_during_pregnancy,"If mother had HIV, did she receive ARV during pregnancy?",NA
mother_assisted,Did the mother receive professional assistance during the delivery?,NA
mother_blurred_vision,During the pregnancy did the baby's mother suffer from blurred vision?,NA
mother_breastfeed_child,Was the mother able to breastfeed the child?,NA
mother_convulsions,During the pregnancy did the baby's mother suffer from convulsions?,NA
mother_current_health,How is the mother's health now?,NA
mother_diabetes,Did the baby's mother have diabetes mellitus?,NA
mother_diagnosed_hiv,Has the child's (biological) mother ever been told she had HIV/AIDS by a health worker?,NA
mother_die,Did the mother die during or after the delivery?,NA
mother_epilepsy,During the pregnancy did the mother suffer from epilepsy?,NA
mother_febrile_delivery,Did the mother have febrile illness at the time of delivery?,NA
mother_fever,Did the mother have a fever when the labour started?,NA
mother_healthy,Is the mother of the dead child healthy?,NA
mother_heart_disease,During the pregnancy did the baby's mother suffer from heart disease?,NA
mother_high_blood_pressure,During the pregnancy did the baby's mother suffer from high blood pressure?,NA
mother_highest_education,What was the mother's highest level of education?,NA
mother_highest_education_specific,"Mother's highest level of education, specific",NA
mother_hiv,Did the child's mother suffer from any of the following conditions? HIV/AIDS,NA
mother_illness_specific,Did the child's mother suffer from any of the following conditions? Specify,NA
mother_no_breastfeed_child_reason,"If mother not able to breastfeed the child, why not?",NA
mother_no_breastfeed_child_reason_specific,"If mother not able to breastfeed the child, why not? Other, specify",NA
mother_no_conditions,Did the child's mother suffer from any of the following conditions? None,NA
mother_no_illness,Did the child's mother suffer from any of the following illnesses? None,NA
mother_occupation,Mother's occupation,NA
mother_occupation_specific,"Mother's occupation, specific",NA
mother_other_illness,Did the child's mother suffer from any of the following illnesses? Other,NA
mother_other_illness_2,"During the last 3 months of pregnancy, did the mother suffer from any of the follow illnesses? Other illness",NA
mother_other_illness_specific,"Did the child's mother suffer from any of the following illnesses? Other, specify",NA
mother_pallor,"During the last 3 months of pregnancy, did the mother suffer from any of the follow illnesses? Pallor and shortness of 
 breath",NA
mother_puffy_face,"During the last 3 months of pregnancy, did the mother suffer from any of the follow illnesses? Puffy face",NA
mother_sp_fansidar,Did the mother receive SP or fansidar for malaria prevention during the antenatal visits?,NA
mother_tb,Mother diagnosed with TB during last year?,NA
mother_tb_diagnosed,Was the mother of the child diagnosed with TB during the last 2 years?,NA
mother_tb_during_pregnancy,Was the mother of the child diagnosed with TB during the last pregnancy?,NA
mother_tested_hiv,Has the deceased'só» s (biological) mother ever been tested for HIV?,NA
mother_tetnus,Did the mother receive tetanus toxoid (TT) vaccine? / Did the child's mother receive any tetanus vaccinations during the pregnancy?,Two variations of question
mother_tetnus_injections,Number of tetanus vaccines mother received,NA
mother_tetnus_previous,Did the child's mother receive any tetanus vaccinations since reaching adulthood before this pregnancy?,NA
mother_tetnus_previous_injections,Number of doses of tetanus injections has the child's mother received since reaching adulthood before this pregnancy,NA
mother_vaccinations,Did the mother receive any vaccinations since reaching adulthood including during this pregnancy?,NA
mother_vaginal_bleeding,During the last 3 months of pregnancy did the mother suffer from any of the following known illnesses?,See mother_vaginal_bleeding_late_pregnancy
mother_vaginal_bleeding_early_pregnancy,Was there vaginal bleeding during the first 6 months of pregnancy?,NA
mother_vaginal_bleeding_labour,Was there excessive vaginal bleeding during labour?,NA
mother_vaginal_bleeding_late_pregnancy,Did the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?,NA
mother_vaginal_bleeding_post_delivery,Was there excessive vaginal bleeding after delivering the baby?,NA
mother_vaginal_bleeding_pregancy_post_delivery,Was there any vaginal bleeding during pregnancy or after delivery?,NA
mother_vaginal_discharge,Did the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?,NA
motor_transport,Did the child use motorized transport to get to the hospital or health facility?,NA
moving_before_birth,Was the baby moving in the last few days before the birth?,NA
multiple,Was the child a single or multiple birth?,From va_under_4_weeks_map.csv
multiple_birth,Was the child part of a multiple birth?,NA
name_deceased,Name of deceased,NA
name_father,Deceased father's first name,NA
name_health_clinic,"What was the name and address of any hospital, health center or clinic where care was sought",NA
name_interviewer,What is the name of the interviewer?,NA
name_local_registrar,First name of local registrar,NA
name_mother,Deceased mother's first name,NA
name_of_hospital,Name of hospital,NA
name_of_hospital_other,"Name of hospital, other",NA
name_respondent,What is the name of the respondent?,NA
name_supervisor,Name of supervisor,NA
need_civil_registration,Is there need to collect civil registration data on the deceased?,NA
night_sweats,Did the child have night sweats?,NA
nights_in_hospital,How many nights in total did the child spend in the hospital(s)?,NA
no_stool,Was there a period of a day or longer during which the child did not pass any stool?,NA
noisy_breathing,Did the child have noisy breathing (grunting or wheezing)?,see wheezing
non_road_accident,Was the child injured in a non-road transport accident?,NA
non_venomous_animal,Was the child injured by an animal or insect (non-venomous)?,NA
normal_delivery,Was baby born in a normal vaginal delivery?,NA
not_grow_normal,Was the child not growing normally?,NA
not_pregnant_6_weeks_of_death,"Was the mother neither pregnant, nor delivered, within 6 weeks of her death?",NA
note_date_available,Is the date of the last note on the health records available?,NA
note_vaccines,Note the vaccines the child received,NA
number_fits,"When severe, how many fits did the child have in a day?",see number of convulsions
number_of_convulsions,How many convulsions did the child have per day?,see number_of_fits
number_previous_births,"How many births, including stillbirths, did the mother have before this baby?",NA
number_stools_per_day,"When the diarrhea was most severe, how many times did the child pass stool in a day?",NA
number_tetnus_injections,Number of tetanus injections,NA
occupation,"What was her/his occupation, i.e., what kind of work did (s)he mainly do?",NA
operation,Did the child have an operation for the illness?,NA
operation_abdomen,The child had an operation on the abdomen,NA
operation_before_death,Did the child have the operation within 1 month before death?,NA
operation_chest,The child had an operation on the chest,NA
operation_head,The child had an operation on the head,NA
operation_part,"If the child had an operation for the illness, what part of the body was the operation on?",NA
operation_part_specific,"If had an operation for the illness, what part of the body was the operation on? Specific",NA
operation_remove_uterus,Did the mother have an operation to remove her uterus shortly before death?,NA
operation_specific,"The child had an operation on another body part, specific",NA
oral_rehydration,Did the child receive oral rehydration salts?,NA
other_antimalarials,Did the child receive antimalarials? Other,NA
other_children_ill,Were any other children in the compound seriously ill at time that the child died?,NA
other_children_ill_specific,Were any other children in the compound seriously ill at time that the child died? Specify illness,NA
other_children_measles,Had any other children in the compound recently had measles?,NA
other_comments,Other comments,NA
other_docs_info,Information on other documents,NA
other_illness,Was the child diagnosed by a health professional of another illness?,NA
other_illness_specific,Was the child diagnosed by a health professional of another illness? Specify,NA
other_injury,Was the child injury by some other injury?,NA
other_records_available,Are other health records available?,NA
other_siblings_age_died,"If other children of the same mother or father died before the age of 12 years, how old were they when they died?",NA
other_siblings_died,Have any other children of the same mother or father died before the age of 12 years?,NA
outside_care,Was care sought outside the home while (s)he had this illness? / Between the child falling ill and dying did you take him or her to see anyone for treatment?,NA
pain_swallowing,Did the child have pain swallowing?,NA
painful_neck,Did the child have a painful neck during the illness that led to death?,NA
painful_neck_unknown,For how long did the child have stiff or painfull neck? Don't know,NA
pale,"Did the child look pale or have pale palms, eyes, or nail beds?",NA
pale_month_prior_to_death,"During the illness that led to death, did the child suffer from lack of blood or appear pale?",see pale
paralysis_lower_limb,Did the child have paralysis of the lower limbs?,NA
paralysis_lower_limb_sudden,"If the child had paralysis in the lower limbs, did the paralysis happen suddenly?",NA
paralyzed,Was the child in any way paralyzed?,NA
paralyzed_other,Which were the limbs or body parts paralyzed? Other,NA
paralyzed_part,Which were the limbs or body parts paralyzed?,NA
paralyzed_side,Did the child have paralysis of only one side of the body?,NA
paralyzed_sudden,"Did the paralysis happen suddenly, quickly, or slowly?",NA
part_delivered_first,Part of baby's body delivered first,NA
part_delivered_first_specific,"Part of baby's body delivered first, specific",NA
participation,Respondent participation status,NA
pentavalent_1,Note vaccines the child has received: Pentavalent 1,"Gambia, WHO2016"
pentavalent_2,Note vaccines the child has received: Pentavalent 2,"Gambia, WHO2016"
pentavalent_3,Note vaccines the child has received: Pentavalent 3,"Gambia, WHO2016"
physically_abnormal,"Was any part of the baby physically abnormal at time of delivery? (for example body part too large or too small, additional growth on the body)?",NA
place_died,Where did the child die?,NA
place_died_health_centre,Did the child die in a health centre?,NA
place_died_specific,Where did the child die? Specific,NA
place_of_birth,What was the child's place of birth?,NA
place_of_birth_other,What was the child's place of birth? Other,NA
place_of_birth_specific,What was the child's place of birth? Specific,NA
place_of_death,"Where did the death occur? (specify country, province, district, village)",NA
place_of_usual_residence,What was the child's place of usual residence (where he/she lived most of the year)?,NA
place_rash,Where was the rash?,NA
place_residence_before_death,What was the child's place of residence 1-5 years before death?,"Categorical in c2012 and n2012 but Non-Categorical in c2016, n2016, and champs2"
place_residence_before_death_other,What was the child's place of residence 1-5 years before death? Other,NA
place_residence_before_death_specific,What was the child's place of residence 1-5 years before death? Specific,NA
placenta_not_delivered,Was the placenta not completely delivered?,NA
pneumo_1,Note vaccines the child has received: Pneumo 1,"Gambia, WHO2016"
pneumo_2,Note vaccines the child has received: Pneumo 2,"Gambia, WHO2016"
pneumo_3,Note vaccines the child has received: Pneumo 3,"Gambia, WHO2016"
poisoning,Did the child die of poisoning?,NA
polio_0,Note vaccines the child has received: Polio 0,"Gambia, WHO2016"
polio_1,Note vaccines the child has received: Polio 1,"Gambia, WHO2016"
polio_2,Note vaccines the child has received: Polio 2,"Gambia, WHO2016"
polio_3,Note vaccines the child has received: Polio 3,"Gambia, WHO2016"
polio_4,Note vaccines the child has received: Polio 4,"Gambia, WHO2016"
polio_booster,Note vaccines the child has received: Polio Booster,"Gambia, WHO2016"
post_mortem,Was a post mortem completed?,NA
post_mortem_results,Post mortem results,NA
pregnancy_end_early,Did the pregnancy end earlier than expected?,NA
pregnancy_unknown,How many weeks or months was the pregnancy when the baby was born? Don't know,NA
pregnant_time_of_death,Was the mother pregnant at the time of death?,NA
premature,Was the baby born premature / more than a month early?,NA
previous_births,Number of previous births / stillbirths,NA
previous_births_unknown,"How many births, including stillbirths (28 weeks), did the mother have before this baby? Don't know",NA
previous_caesarean,Did the mother have any previous C-section?,NA
primary_caregiver,Who was looking after/caring for the child before his/her death?,NA
primary_caregiver_specific,"Who was looking after/caring for the child before his/her death? Other, specify",NA
problem_child_or_mother,Was there a problem with the child or mother?,NA
problems_umbilical_cord,Did the baby have any problem with the umbilical cord?,NA
problems_umbilical_cord_specific,What was the problem with the umbilical cord?,NA
problems_umbilical_cord_specific_other,What was the problem with the umbilical cord? Other,NA
protruding_abdomen,Did the child have a protruding abdomen?,NA
protruding_abdomen_duration,For how long before death did the child have a protruding abdomen?,NA
protruding_abdomen_unknown,For how long did the child have a more than usually protruding abdomen? Don't know,NA
puffiness_of_face,Did the child have puffiness of the face?,NA
pus,Did the sores have clear fluid or pus?,NA
pustular_rash,Did the baby have a pustular skin rash?,NA
qc_date,Quality control date,NA
qc_staff_code,Quality control staff code,NA
quinine,Which antimalarial drug did the baby receive? Quinine,NA
rapidly_protruding_abdomen,How rapidly did the child develop the protruding belly (abdomen)?,NA
rash,"During the illness that led to death, did the child have any skin rash?",NA
rash_arm_leg,Where was the rash located? Arms and legs,NA
rash_body,"If the child had a skin rash, was the rash all over child's body?",NA
rash_duration,For how long did the child have a skin rash?,NA
rash_face,"If the child had a skin rash, was the rash on the face?",NA
rash_look,What did the rash look like? / What were the features of the rash?,NA
rash_look_specific,What were the features of the rash? Specific,NA
rash_mouth,Did the child have a rash inside the mouth or on the tongue?,NA
rash_palms,"If the child had a skin rash, was the rash on the palms?",NA
rash_pus,"During the illness that led to death, did the child have a skin rash with blisters containing pus?",NA
rash_skin_peel,Did the skin crack/split or peel after the rash started?,NA
rash_trunk,"If the child had a skin rash, was the rash on the trunk?",NA
rash_unknown,For how long did the child have any skin rash? Don't know,NA
received_anti_tb,Did the child receive any of the following medications during the illness preceding his/her death? Anti TB,NA
received_antibiotics,Did the child receive any of the following medications during the illness preceding his/her death? Antibiotics,NA
received_antimalarial,Did the child receive any of the following medications during the illness preceding his/her death? Antimalarials,NA
received_arvs,Did the child receive any of the following medications during the illness preceding his/her death? ARVs,NA
received_blood_transfusion,Did the child receive any of the following medications during the illness preceding his/her death? Blood transfusion,NA
received_medical_care_before_death,Did the child receive medical care before death?,NA
received_medication_for_illness,Did the child receive medication for this illness?,NA
received_medication_for_illness_specific,Did the child receive medication for this illness? Specific,NA
recent_visit_available,Date of the most recent (last) visit,NA
record_notes,Last note on the child's health record,NA
recorded_weight,Record the weight (in kilograms) written at the most recent (last) visit,NA
recorded_weight_2,Record the weight (in kilograms) written at the second most recent visit,NA
red_eyes,"Did the child have red eyes? / Did the child have sore, red eyes?",NA
redness_umbilical_cord,Did the baby have redness or discharge from the umbilical cord stump?,NA
region_hiv_mortality,Is this a region of high HIV/AIDS prevalence?,NA
region_malaria_mortality,Is this a region of high malaria prevalence?,NA
relationship,What is the respondent's relationship to the deceased?,NA
relationship_other,What is the respondent's relationship to the deceased? Other,NA
relationship_specific,What is the respondent's relationship to the deceased? Specific,NA
reliability_of_interview,Reliability of interview,NA
respondent_age,Age of respondent,NA
respondent_consent,Did the respondent give consent?,NA
respondent_name,What is the respondent's name?,NA
road_accident,Did the child suffer from a road/traffic injury or accident that led to death?,NA
role_traffic_accident,What was his/her role in the road traffic accident?,NA
rota_1,Note vaccines the child has received: Rota 1,"Gambia, WHO2016"
rota_2,Note vaccines the child has received: Rota 2,"Gambia, WHO2016"
rota_3,Note vaccines the child has received: Rota 3,"Gambia, WHO2016"
season,During which season did the child die?,NA
second_recent_visit_available,Is the date of the second most recent visit available?,NA
second_visit_date,Date of second visit,NA
see_antenatal_card,Can I see the antenatal card?,NA
see_death_certificate,Can I see the death certificate?,NA
see_health_records,Can I see the health records?,NA
see_vaccination_card,Can I see the vaccination card?,NA
sentinel_health_facility_specific,"Sentinel health facility, specific",NA
severe_headache,Did the child have a severe headache?,NA
sex_deceased,Sex of deceased,NA
sex_respondent,Sex of respondent,NA
sickle_cell,Was there any diagnosis by a health professional of sickle cell disease?,NA
sign_injury_broken_bones,Any signs of injury or broken bones?,NA
sign_injury_broken_bones_specific,"Signs of injury or broken bones, specific",NA
sign_paralysis,Any signs of paralysis?,NA
site,Interview site ID,NA
skin_black,"During the illness that led to death, did the child have areas of skin that turned black?",NA
skin_color,What was the colour of the child's skin after being born?,NA
skin_flake,"During the illness that led to death, did the child's skin flake off in patches?",NA
skin_peeling,"During the period of illness, did the child have areas of skin that were peeling?",NA
skin_problem,Did the child have skin problems?,NA
skin_red,"During the illness that led to death, did the child have areas of skin with redness or swelling?",NA
skin_ulcers,"During the illness that led to death, did the baby have skin ulcer(s) or pits?",NA
small_at_birth,Was the child small at birth?,NA
small_head,Did the baby/child have a very small head at time of birth?,NA
small_size,"Was the baby smaller than normal, weighing under 2.5 kg?",NA
sores,Did the child ever have sores?,NA
stab,"Was the child stabbed, cut, or pierced?",NA
start_time,Interview start time,NA
stiff,"Did the baby's body become stiff, with the head arched backwards?",NA
stiff_body,Did the child have stiffness of the whole body or was unable to open the mouth?,NA
stiff_neck,Did the child have a stiff neck during illness that led to death?,NA
stiff_neck_duration,For how long did the child have a stiff neck?,NA
stop_ability_to_cry,Did the baby stop being able to cry?,NA
stop_moving_before_labour,Did the baby stop moving in the womb before labour started?,NA
stop_start_breathing,"During the illness that led to death, did the child ever have short periods of stopping and restarting breathing?",NA
stop_suckle,Did the baby stop suckling?,NA
strangled,Was the child strangled?,NA
stroke,Was the child strangled?,NA
struck,Was the child struck by an animal or object?,NA
suckle_exclusively,Was the breastfeeding exclusive?,NA
suckle_feed,Was the baby able to suckle or bottle-feed within the first 24 hours after birth?,NA
suckle_normal,Did the baby ever suckle in a normal way?,NA
suffer_chronic_illness,Did the child suffer from any other chronic illness apart from those asked?,NA
suffer_chronic_illness_specific,Did the child suffer from any other chronic illness apart from those asked? Specific,NA
suffer_heart_disease,Did the child suffer from the following diseases? Heart disease,NA
suicide,Did the child commit suicide?,NA
sunken_eye,Did the child have sunken eyes?,NA
sunken_fontanelle,During the illness that led to death did the child have a sunken fontanelle?,NA
supervisor_comments,Supervisor's comments,NA
supervisor_observations,Supervisor's observations,NA
surname_deceased,Surname of deceased,NA
surname_father,Deceased father's surname,NA
surname_interviewer,Surname of interviewer,NA
surname_local_registrar,Surname of local registrar,NA
surname_mother,Deceased mother's surname,NA
surname_respondent,Surname of the respondent,NA
swell,During the illness that led to death did he/she have areas of the skin with redness and swelling?,NA
swell_ankle,Did the child have swelling in the ankles?,NA
swell_armpits,Did the child have swelling in the armpits?,NA
swell_body,Did the child have general puffiness all over his/her body?,NA
swell_face,Did the child have swelling of the face?,NA
swell_feet,Did the child have swelling of the feet?,NA
swell_groin,Did the child have swelling in the groin?,NA
swell_joints,Did the child have swelling in the joints?,NA
swell_leg,Did the child have swelling on one or both legs?,NA
swell_mouth,Did the child have swelling in/on the mouth?,NA
swell_neck,Did the child have swelling in/on the neck?,NA
swell_other,Did the child have swelling on other parts of the body?,NA
swell_specific,Did the child have swelling on other parts of the body? Specify,NA
swelled_back,Did the baby have a swelling/defect on the back?,NA
symptoms,Summary of symptoms reported by respondent,NA
symptoms_2,Summary of symptoms reported by respondent 2,NA
symptoms_2_duration,"Summary of symptoms reported by respondent 2, duration",NA
symptoms_2_severity,"Summary of symptoms reported by respondent 2, severity",NA
symptoms_duration,"Summary of symptoms reported by respondent, duration",NA
symptoms_severity,"Summary of symptoms reported by respondent, severity",NA
tb,Did the child suffer from TB?,NA
telephone_call_help,"In the final days before death, did anyone use a telephone or cell phone to call for help?",NA
thin,Was the child severely thin or wasted?,NA
thinner_since_when,Since when has the child been thinner than normal?,NA
third_visit_date,Third visit date,NA
time_end,Interview end time,NA
time_ill_before_death,How long was the child ill before his/her death?,NA
times_diarrhea,"On the day when the diarrhea was most frequent, how many times did the child pass stools per day?",NA
times_passed_stool,"When the diarrhea was most severe, how many times did the child pass stool in a day?",NA
times_vomit,When the vomiting was worst how often did the child vomit?,NA
told_cause_of_death,Did a health care worker tell you the cause of death?,NA
traditiaonal_medicine_used,"In the final days before death, was traditional medicine used?",NA
travel_to_hosptial,"In the final days before death, did s/he travel to a hospital or health facility?",NA
treatment,Did the child receive any treatment for the illness that led to death?,NA
treatment_bush_doctor,Which of the following places/facilities did the child receive treatment during the illness that led to death? Bush doctor,NA
treatment_card_available,Treatment cards available?,NA
treatment_card_info,Information on treatment cards,NA
treatment_cost_prohibit_household_payments,"Over the course of illness, did the total costs of care and treatment prohibit other household payments?",NA
treatment_facility_1,"List the treatment providers/facilities visited during the illness leading to death, first facility",NA
treatment_facility_2,"List the treatment providers/facilities visited during the illness leading to death, second facility",NA
treatment_facility_3,"List the treatment providers/facilities visited during the illness leading to death, third facility",NA
treatment_facility_4,"List the treatment providers/facilities visited during the illness leading to death, fourth facility",NA
treatment_government_clinic,Which of the following places/facilities did the child receive treatment during the illness that led to death? Government clinic,NA
treatment_government_hospital,Which of the following places/facilities did the child receive treatment during the illness that led to death? Government hospital,NA
treatment_home,Which of the following places/facilities did the child receive treatment during the illness that led to death? Home,NA
treatment_list,List the drugs the child was given for the illness that led to death,NA
treatment_nyamrerwa,Which of the following places/facilities did the child receive treatment during the illness that led to death? Nyamrerwa,NA
treatment_other,Where was outside care sought? Other,NA
treatment_other_facility,Which of the following places/facilities did the child receive treatment during the illness that led to death? Other facility,NA
treatment_other_specific,"Which of the following places/facilities did the child receive treatment during the illness that led to death? Other, specific",NA
treatment_pharmacy,Which of the following places/facilities did the child receive treatment during the illness that led to death? Pharmacy,NA
treatment_private_clinic,Which of the following places/facilities did the child receive treatment during the illness that led to death? Private clinic,NA
treatment_private_hospital,Which of the following places/facilities did the child receive treatment during the illness that led to death? Private hospital,NA
treatment_relgious,Which of the following places/facilities did the child receive treatment during the illness that led to death? Religious leader,NA
treatment_specific,What type of treatment did the child receive? Specific,NA
treatment_traditional_healer,Which of the following places/facilities did the child receive treatment during the illness that led to death? Traditional healer,NA
type_delivery,Type of delivery,NA
type_delivery_specific,"Type of deliver, specific",NA
ulcer,Did the child have sores or ulcers anywhere on the body?,NA
ulcer_abs,Did the child have ulcers on the abdomen?,NA
ulcer_foot,Did the child have ulcers on the foot?,NA
ulcer_foot_pus,Did the ulcer on the foot ooze pus?,NA
ulcers,Did the child have sores or ulcers anywhere on the body?,NA
umbilical_cord_stump_treated,Was the umbilical cord stump treated?,NA
umbilical_cord_stump_treated_specific,Was the umbilical cord stump treated? Specific,NA
umbilical_first,Was the umbilical cord delivered first?,NA
umbilical_wrap_neck,Was the umbilical cord wrapped more than once around the neck of the child at birth?,NA
unable_breastfeed_when_ill,Was the child unable to breastfeed when ill?,NA
unable_daily_routine,Was the child unable to carry out daily routines due to breathlessness?,NA
unconscious,Was the child unconscious during the illness that led to death?,NA
unconscious_24_hours,Was the child unconscious for more than 24 hours before death?,NA
unconscious_continue,Did the unconsciousness continue until death?,NA
unconscious_sudden,"Did the unconsciousness start suddenly, quickly (within a single day)?",NA
unconscious_unknown,How long was the child unconscious? Don't know,NA
unresponsive,"During the illness that led to death, did the child become unresponsive or unconscious?",NA
unresponsive_after_24_hours,Did the baby become unresponsive or unconscious more than 24 hours after birth?,NA
unresponsive_to_voice,"At any time during the illness that led to death, did the child stop being able to respond to a voice?",NA
unresponsive_within_24_hours,"Did the baby become unresponsive or unconscious soon after birth, within less than 24 hours?",NA
unusually_sleepy,Was the child unusually sleepy?,NA
upper_lower_abdomen_pain,Was the pain in the upper or lower abdomen?,NA
urine_amount,How much urine did the child pass?,NA
urine_blood,"During the final illness, did the child ever pass blood in the urine?",NA
urine_change_amount,Was there change in the amount of urine the child passed?,NA
urine_often,Did the child urinate more often than usual?,NA
urine_problems,Did the child have any urine problems?,NA
urine_stop,Did the child stop urinating?,NA
usual_size,At birth was the baby of usual size?,NA
