variable,variable_type,responses,question_standardized,response_standardized,country,format,response_standarized,question_full
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions,Categorical,non,swell,no,mali,va_4_weeks_to_59_months,NA,During the illness that led to death did he/she have areas of the skin with redness and swelling?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions,Categorical,ne_sait_pas,swell,dk,mali,va_4_weeks_to_59_months,NA,During the illness that led to death did he/she have areas of the skin with redness and swelling?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Temps_tumefactions,Categorical,jours,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Temps_tumefactions1,Non-categorical,Non-categorical variable,days_swell,NA,mali,va_4_weeks_to_59_months,NA,Days the child's swelling lasted
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur,Categorical,suivante,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_visage,Categorical,oui,swell_face,yes,mali,va_4_weeks_to_59_months,NA,Did the child have swelling of the face?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_visage,Categorical,non,swell_face,no,mali,va_4_weeks_to_59_months,NA,Did the child have swelling of the face?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_visage,Categorical,ne_sait_pas,swell_face,dk,mali,va_4_weeks_to_59_months,NA,Did the child have swelling of the face?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_articulations,Categorical,oui,swell_joints,yes,mali,va_4_weeks_to_59_months,NA,Did the child have swelling in the joints?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_articulations,Categorical,non,swell_joints,no,mali,va_4_weeks_to_59_months,NA,Did the child have swelling in the joints?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_articulations,Categorical,ne_sait_pas,swell_joints,dk,mali,va_4_weeks_to_59_months,NA,Did the child have swelling in the joints?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_chevilles,Categorical,oui,swell_ankle,yes,mali,va_4_weeks_to_59_months,NA,Did the child have swelling in the ankles?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_chevilles,Categorical,non,swell_ankle,no,mali,va_4_weeks_to_59_months,NA,Did the child have swelling in the ankles?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_chevilles,Categorical,ne_sait_pas,swell_ankle,dk,mali,va_4_weeks_to_59_months,NA,Did the child have swelling in the ankles?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_corps,Categorical,oui,swell_body,yes,mali,va_4_weeks_to_59_months,NA,Did the child have general puffiness all over his/her body?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_corps,Categorical,non,swell_body,no,mali,va_4_weeks_to_59_months,NA,Did the child have general puffiness all over his/her body?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_corps,Categorical,ne_sait_pas,swell_body,dk,mali,va_4_weeks_to_59_months,NA,Did the child have general puffiness all over his/her body?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_autre,Categorical,oui,swell_other,yes,mali,va_4_weeks_to_59_months,NA,Did the child have swelling on other parts of the body?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_autre,Categorical,non,swell_other,no,mali,va_4_weeks_to_59_months,NA,Did the child have swelling on other parts of the body?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_autre,Categorical,ne_sait_pas,swell_other,dk,mali,va_4_weeks_to_59_months,NA,Did the child have swelling on other parts of the body?
Section_1.2:Resultat_rempli_oui:Section_8:Tumefactions_oui:Tumefactions_sur1:Tume_autre1,Non-categorical,Non-categorical variable,swell_specific,NA,mali,va_4_weeks_to_59_months,NA,Did the child have swelling on other parts of the body? Specify
Section_1.2:Resultat_rempli_oui:Section_8:Bosses,Categorical,oui,lumps,yes,mali,va_4_weeks_to_59_months,NA,Did the child have any lumps?
Section_1.2:Resultat_rempli_oui:Section_8:Bosses,Categorical,non,lumps,no,mali,va_4_weeks_to_59_months,NA,Did the child have any lumps?
Section_1.2:Resultat_rempli_oui:Section_8:Bosses,Categorical,ne_sait_pas,lumps,dk,mali,va_4_weeks_to_59_months,NA,Did the child have any lumps?
Section_1.2:Resultat_rempli_oui:Section_8:Bosses_oui:Temps_bosses,Categorical,Variable with 0 responses,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Bosses_oui:Temps_bosses1,Non-categorical,Non-categorical variable,days_lumps,NA,mali,va_4_weeks_to_59_months,NA,Days the child had lumps on the body
Section_1.2:Resultat_rempli_oui:Section_8:Bosses_oui:Bosses_sur,Categorical,Variable with 0 responses,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Bosses_oui:Bosses_sur1:Bosses_bouche,Categorical,Variable with 0 responses,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Bosses_oui:Bosses_sur1:Bosses_cou,Categorical,Variable with 0 responses,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Bosses_oui:Bosses_sur1:Bosses_aisselle,Categorical,Variable with 0 responses,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Bosses_oui:Bosses_sur1:Bosses_aine,Categorical,Variable with 0 responses,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Bosses_oui:Bosses_sur1:Bosses_autre,Categorical,Variable with 0 responses,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Bosses_oui:Bosses_sur1:Bosses_autre1,Categorical,Variable with 0 responses,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Jaune_yeux,Categorical,oui,yellow_eyes,yes,mali,va_4_weeks_to_59_months,NA,Did the child have yellow discoloration of the eyes?
Section_1.2:Resultat_rempli_oui:Section_8:Jaune_yeux,Categorical,non,yellow_eyes,no,mali,va_4_weeks_to_59_months,NA,Did the child have yellow discoloration of the eyes?
Section_1.2:Resultat_rempli_oui:Section_8:Jaune_yeux,Categorical,ne_sait_pas,yellow_eyes,dk,mali,va_4_weeks_to_59_months,NA,Did the child have yellow discoloration of the eyes?
Section_1.2:Resultat_rempli_oui:Section_8:Temps_jaune_yeux,Categorical,jours,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Temps_jaune_yeux,Categorical,ne_sait_pas,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Temps_jaune_yeux1,Non-categorical,Non-categorical variable,days_yellow_eyes,NA,mali,va_4_weeks_to_59_months,NA,Days the child had yellow discoloration of the eyes
Section_1.2:Resultat_rempli_oui:Section_8:Cheveux,Categorical,oui,hair_red_yellow,yes,mali,va_4_weeks_to_59_months,NA,Did the child's hair change to a reddish or yellowish color?
Section_1.2:Resultat_rempli_oui:Section_8:Cheveux,Categorical,non,hair_red_yellow,no,mali,va_4_weeks_to_59_months,NA,Did the child's hair change to a reddish or yellowish color?
Section_1.2:Resultat_rempli_oui:Section_8:Cheveux,Categorical,ne_sait_pas,hair_red_yellow,dk,mali,va_4_weeks_to_59_months,NA,Did the child's hair change to a reddish or yellowish color?
Section_1.2:Resultat_rempli_oui:Section_8:Temps_cheveux,Categorical,untitled,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Temps_cheveux1,Non-categorical,Non-categorical variable,days_red_yellow_hair,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Pale,Categorical,oui,pale,yes,mali,va_4_weeks_to_59_months,NA,"Did the child look pale or have pale palms, eyes, or nail beds?"
Section_1.2:Resultat_rempli_oui:Section_8:Pale,Categorical,non,pale,no,mali,va_4_weeks_to_59_months,NA,"Did the child look pale or have pale palms, eyes, or nail beds?"
Section_1.2:Resultat_rempli_oui:Section_8:Pale,Categorical,ne_sait_pas,pale,dk,mali,va_4_weeks_to_59_months,NA,"Did the child look pale or have pale palms, eyes, or nail beds?"
Section_1.2:Resultat_rempli_oui:Section_8:Temps_pale,Categorical,jours,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Temps_pale,Categorical,ne_sait_pas,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_8:Temps_pale1,Non-categorical,Non-categorical variable,days_pale,NA,mali,va_4_weeks_to_59_months,NA,Days the child looked pale
Section_1.2:Resultat_rempli_oui:Section_9:Vaccine_rougeole,Categorical,oui,vaccinated_measles,yes,mali,va_4_weeks_to_59_months,NA,Was the child vaccinated for measles?
Section_1.2:Resultat_rempli_oui:Section_9:Vaccine_rougeole,Categorical,non,vaccinated_measles,no,mali,va_4_weeks_to_59_months,NA,Was the child vaccinated for measles?
Section_1.2:Resultat_rempli_oui:Section_9:Vaccine_rougeole,Categorical,ne_sait_pas,vaccinated_measles,dk,mali,va_4_weeks_to_59_months,NA,Was the child vaccinated for measles?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_mal,Categorical,oui,treatment,yes,mali,va_4_weeks_to_59_months,NA,Did the child receive any treatment for the illness that led to death?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_mal,Categorical,non,treatment,no,mali,va_4_weeks_to_59_months,NA,Did the child receive any treatment for the illness that led to death?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Liste_medicaments,Non-categorical,Non-categorical variable,treatment_list,NA,mali,va_4_weeks_to_59_months,NA,List the drugs the child was given for the illness that led to death
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement,Categorical,suivante,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_liquide,Categorical,oui,iv,yes,mali,va_4_weeks_to_59_months,NA,Did the child receive (or need) intravenous fluids (drip) treatment?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_liquide,Categorical,non,iv,no,mali,va_4_weeks_to_59_months,NA,Did the child receive (or need) intravenous fluids (drip) treatment?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_liquide,Categorical,ne_sait_pas,iv,dk,mali,va_4_weeks_to_59_months,NA,Did the child receive (or need) intravenous fluids (drip) treatment?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_transfusion,Categorical,oui,blood_transfusion,yes,mali,va_4_weeks_to_59_months,NA,Did the child receive (or need) a blood transfusion?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_transfusion,Categorical,non,blood_transfusion,no,mali,va_4_weeks_to_59_months,NA,Did the child receive (or need) a blood transfusion?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_transfusion,Categorical,ne_sait_pas,blood_transfusion,dk,mali,va_4_weeks_to_59_months,NA,Did the child receive (or need) a blood transfusion?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_catheter,Categorical,oui,feed_nose,yes,mali,va_4_weeks_to_59_months,NA,What type of treatment did the child receive? Food through a tube passed through the nose
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_catheter,Categorical,non,feed_nose,no,mali,va_4_weeks_to_59_months,NA,What type of treatment did the child receive? Food through a tube passed through the nose
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_catheter,Categorical,ne_sait_pas,feed_nose,dk,mali,va_4_weeks_to_59_months,NA,What type of treatment did the child receive? Food through a tube passed through the nose
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_autres,Categorical,oui,treatment_other,yes,mali,va_4_weeks_to_59_months,NA,Where was outside care sought? Other
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_autres,Categorical,non,treatment_other,no,mali,va_4_weeks_to_59_months,NA,Where was outside care sought? Other
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_autres,Categorical,ne_sait_pas,treatment_other,dk,mali,va_4_weeks_to_59_months,NA,Where was outside care sought? Other
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Type_traitement1:Traite_autres1,Non-categorical,Non-categorical variable,treatment_specific,NA,mali,va_4_weeks_to_59_months,NA,What type of treatment did the child receive? Specific
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement,Categorical,suivante,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Maison,Categorical,oui,treatment_home,yes,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Home
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Maison,Categorical,non,treatment_home,no,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Home
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Guerisseur,Categorical,oui,treatment_traditional_healer,yes,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Traditional healer
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Guerisseur,Categorical,non,treatment_traditional_healer,no,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Traditional healer
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Clinique_gouv,Categorical,oui,treatment_government_clinic,yes,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Government clinic
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Clinique_gouv,Categorical,non,treatment_government_clinic,no,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Government clinic
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Hopital_gouv,Categorical,oui,treatment_government_hospital,yes,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Government hospital
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Hopital_gouv,Categorical,non,treatment_government_hospital,no,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Government hospital
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Clinique_privee,Categorical,oui,treatment_private_clinic,yes,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Private clinic
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Clinique_privee,Categorical,non,treatment_private_clinic,no,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Private clinic
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Hopital_prive,Categorical,oui,treatment_private_hospital,yes,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Private hospital
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Hopital_prive,Categorical,non,treatment_private_hospital,no,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Private hospital
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Pharmacie,Categorical,oui,treatment_pharmacy,yes,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Pharmacy
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Pharmacie,Categorical,non,treatment_pharmacy,no,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Pharmacy
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Autre_centre,Categorical,oui,treatment_other_facility,yes,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Other facility
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Autre_centre,Categorical,non,treatment_other_facility,no,mali,va_4_weeks_to_59_months,NA,Which of the following places/facilities did the child receive treatment during the illness that led to death? Other facility
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Centres_traitement1:Autre_centre1,Non-categorical,Non-categorical variable,treatment_other_specific,NA,mali,va_4_weeks_to_59_months,NA,"Which of the following places/facilities did the child receive treatment during the illness that led to death? Other, specific"
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Jours_centre_saisi,Categorical,jours,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Jours_centre_saisi,Categorical,ne_sait_pas,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Jours_centre_saisi1,Non-categorical,Non-categorical variable,days_seek_care_after_illness_start,NA,mali,va_4_weeks_to_59_months,NA,Days after the illness started care at a medical facility was sought
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Admis_hopital,Categorical,oui,admitted_to_health_facility,yes,mali,va_4_weeks_to_59_months,NA,Was the child admitted to a hospital or health facility during the illness?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Admis_hopital,Categorical,non,admitted_to_health_facility,no,mali,va_4_weeks_to_59_months,NA,Was the child admitted to a hospital or health facility during the illness?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Admis_hopital,Categorical,ne_sait_pas,admitted_to_health_facility,dk,mali,va_4_weeks_to_59_months,NA,Was the child admitted to a hospital or health facility during the illness?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Admis_hopital_oui:Nom_centre,Non-categorical,Non-categorical variable,admitted_to_health_facility_name,NA,mali,va_4_weeks_to_59_months,NA,"Was the child admitted to a hospital or health facility during the illness? Yes, name of health facility"
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Admis_hopital_oui:Raison_admis,Non-categorical,Non-categorical variable,admitted_to_health_facility_reason,NA,mali,va_4_weeks_to_59_months,NA,"Was the child admitted to a hospital or health facility during the illness? Yes, reason for admission"
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Admis_hopital_oui:Traite_IV,Categorical,oui,health_facility_treated_iv,yes,mali,va_4_weeks_to_59_months,NA,Was the child treated with IV in the health facility?
Section_1.2:Resultat_rempli_oui:Section_9:Traitement_oui:Admis_hopital_oui:Traite_IV,Categorical,non,health_facility_treated_iv,no,mali,va_4_weeks_to_59_months,NA,Was the child treated with IV in the health facility?
Section_1.2:Resultat_rempli_oui:Section_9:Contacts,Categorical,oui,health_service_contacts,yes,mali,va_4_weeks_to_59_months,NA,"In the month before death, did the child have any contacts with formal health services?"
Section_1.2:Resultat_rempli_oui:Section_9:Contacts,Categorical,non,health_service_contacts,no,mali,va_4_weeks_to_59_months,NA,"In the month before death, did the child have any contacts with formal health services?"
Section_1.2:Resultat_rempli_oui:Section_9:Contacts,Categorical,ne_sait_pas,health_service_contacts,dk,mali,va_4_weeks_to_59_months,NA,"In the month before death, did the child have any contacts with formal health services?"
Section_1.2:Resultat_rempli_oui:Section_9:Contacts_oui:Contacts_nombre,Categorical,contacts,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_9:Contacts_oui:Contacts_nombre1,Non-categorical,Non-categorical variable,contacts_w_health_facility_before_death,NA,mali,va_4_weeks_to_59_months,NA,"In the month before death, how many contacts with formal health services did the child receive?"
Section_1.2:Resultat_rempli_oui:Section_9:Contacts_oui:Travailleurs_cause,Categorical,oui,told_cause_of_death,yes,mali,va_4_weeks_to_59_months,NA,Did a health care worker tell you the cause of death?
Section_1.2:Resultat_rempli_oui:Section_9:Contacts_oui:Travailleurs_cause,Categorical,non,told_cause_of_death,no,mali,va_4_weeks_to_59_months,NA,Did a health care worker tell you the cause of death?
Section_1.2:Resultat_rempli_oui:Section_9:Contacts_oui:Travailleurs_cause,Categorical,ne_sait_pas,told_cause_of_death,dk,mali,va_4_weeks_to_59_months,NA,Did a health care worker tell you the cause of death?
Section_1.2:Resultat_rempli_oui:Section_9:Contacts_oui:Agent_cause,Non-categorical,Non-categorical variable,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_9:Operation,Categorical,oui,operation,yes,mali,va_4_weeks_to_59_months,NA,Did the child have an operation for the illness?
Section_1.2:Resultat_rempli_oui:Section_9:Operation,Categorical,non,operation,no,mali,va_4_weeks_to_59_months,NA,Did the child have an operation for the illness?
Section_1.2:Resultat_rempli_oui:Section_9:Operation,Categorical,ne_sait_pas,operation,dk,mali,va_4_weeks_to_59_months,NA,Did the child have an operation for the illness?
Section_1.2:Resultat_rempli_oui:Section_9:Operation_oui:Temps_operation,Categorical,jours,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Section_9:Operation_oui:Temps_operation1,Non-categorical,Non-categorical variable,days_operation_before_death,NA,mali,va_4_weeks_to_59_months,NA,How long before death did the child have an operation? Days
Section_1.2:Resultat_rempli_oui:Section_9:Operation_oui:Partie_operation,Categorical,ventre,operation_part,abdomen,mali,va_4_weeks_to_59_months,NA,"If the child had an operation for the illness, what part of the body was the operation on?"
Section_1.2:Resultat_rempli_oui:Section_9:Operation_oui:Partie_operation,Categorical,tete,operation_part,head,mali,va_4_weeks_to_59_months,NA,"If the child had an operation for the illness, what part of the body was the operation on?"
Section_1.2:Resultat_rempli_oui:Section_9:Operation_oui:Autre_partie,Non-categorical,Non-categorical variable,operation_part_specific,NA,mali,va_4_weeks_to_59_months,NA,"If had an operation for the illness, what part of the body was the operation on? Specific"
Section_1.2:Resultat_rempli_oui:Section_10:Certificat,Categorical,oui,death_certificate,yes,mali,va_4_weeks_to_59_months,NA,Was a death certificate issued?
Section_1.2:Resultat_rempli_oui:Section_10:Certificat,Categorical,non,death_certificate,no,mali,va_4_weeks_to_59_months,NA,Was a death certificate issued?
Section_1.2:Resultat_rempli_oui:Section_10:Certificat,Categorical,ne_sait_pas,death_certificate,dk,mali,va_4_weeks_to_59_months,NA,Was a death certificate issued?
Section_1.2:Resultat_rempli_oui:Section_10:Certificat_oui:Voir_certificat,Categorical,oui,see_death_certificate,yes,mali,va_4_weeks_to_59_months,NA,Can I see the death certificate?
Section_1.2:Resultat_rempli_oui:Section_10:Certificat_oui:Voir_certificat,Categorical,non,see_death_certificate,no,mali,va_4_weeks_to_59_months,NA,Can I see the death certificate?
Section_1.2:Resultat_rempli_oui:Section_10:Certificat_oui:Date_certificat,Non-categorical,Non-categorical variable,death_certificate_date_death,NA,mali,va_4_weeks_to_59_months,NA,Date of death on death certificate
Section_1.2:Resultat_rempli_oui:Section_10:Certificat_oui:Date_obtention,Non-categorical,Non-categorical variable,death_certificate_issue_date,NA,mali,va_4_weeks_to_59_months,NA,What day was the death certificate issued?
Section_1.2:Resultat_rempli_oui:Section_10:Certificat_oui:Certificat_cause1,Non-categorical,Non-categorical variable,death_cause_on_permit_specific1,NA,mali,va_4_weeks_to_59_months,NA,"Cause of death 1 written on burial permit, specific"
Section_1.2:Resultat_rempli_oui:Section_10:Certificat_oui:Certificat_cause2,Non-categorical,Non-categorical variable,death_cause_on_permit_specific2,NA,mali,va_4_weeks_to_59_months,NA,"Cause of death 2 written on burial permit, specific"
Section_1.2:Resultat_rempli_oui:Section_10:Certificat_oui:Certificat_cause3,Non-categorical,Non-categorical variable,death_cause_on_permit_specific3,NA,mali,va_4_weeks_to_59_months,NA,"Cause of death 3 written on burial permit, specific"
Section_1.2:Resultat_rempli_oui:Section_10:Certificat_oui:Certificat_cause4,Non-categorical,Non-categorical variable,death_cause_on_permit_specific4,NA,mali,va_4_weeks_to_59_months,NA,"Cause of death 4 written on burial permit, specific"
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport,Categorical,yes,health_records,yes,mali,va_4_weeks_to_59_months,NA,Do you have any health records that belonged to the deceased?
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport,Categorical,no,health_records,no,mali,va_4_weeks_to_59_months,NA,Do you have any health records that belonged to the deceased?
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport_oui:Permit,Non-categorical,Non-categorical variable,burial_permit,NA,mali,va_4_weeks_to_59_months,NA,Was a burial permit issued?
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport_oui:Autopsie,Non-categorical,Non-categorical variable,post_mortem,NA,mali,va_4_weeks_to_59_months,NA,Was a post mortem completed?
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport_oui:Carte,Non-categorical,Non-categorical variable,mch_anc_card_info,NA,mali,va_4_weeks_to_59_months,NA,MCH / ANC card information
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport_oui:Ordannance,Non-categorical,Non-categorical variable,hospital_prescription_info,NA,mali,va_4_weeks_to_59_months,NA,Hospital prescription information
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport_oui:Carnet,Non-categorical,Non-categorical variable,treatment_card_info,NA,mali,va_4_weeks_to_59_months,NA,Information on treatment cards
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport_oui:Decharge,Non-categorical,Non-categorical variable,discharge_info,NA,mali,va_4_weeks_to_59_months,NA,Hospital discharge information
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport_oui:Res_laboratoire,Non-categorical,Non-categorical variable,lab_results_info,NA,mali,va_4_weeks_to_59_months,NA,Laboratory/cytology results
Section_1.2:Resultat_rempli_oui:Section_11:Autre_rapport_oui:Autres_doc,Non-categorical,Non-categorical variable,other_docs_info,NA,mali,va_4_weeks_to_59_months,NA,Information on other documents
Section_1.2:Resultat_rempli_oui:Heure_arret,Non-categorical,Non-categorical variable,intervew_stop_time,NA,mali,va_4_weeks_to_59_months,NA,Interview stop time
Section_1.2:Resultat_rempli_oui:Observations_int,Non-categorical,Non-categorical variable,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Commentaire,Non-categorical,Non-categorical variable,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Autres_comment,Non-categorical,Non-categorical variable,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Section_1.2:Resultat_rempli_oui:Observations_sup,Non-categorical,Non-categorical variable,NA,NA,mali,va_4_weeks_to_59_months,NA,NA
Nom_int,Non-categorical,Non-categorical variable,interviewer_name,NA,mali,va_4_weeks_to_59_months,NA,Interviewer name
